update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
100,3200,-206.08746,15.325437992015296,0.6078229193017961,0.773363697705803,6.666666666666667,77.0,-22.614666666666512,-0.2152402549982071,9.230533599853516,2.2651822566986084
200,6400,-175.97990000000001,6.643870029631326,0.7838470640370234,0.8312031074895057,4.333333333333333,102.0,773.7336666666669,-0.09426736831665039,1.0314607620239258,1.5295765399932861
300,9600,-209.50477999999998,2.137914493049337,0.900217615350965,0.6886307052886961,0.0,116.33333333333333,1313.8166666666675,-0.019216254353523254,2.2440710067749023,1.707748293876648
400,12800,64.71576000000003,1.1599846523422028,0.9519746207369919,0.7833978379821166,0.0,124.0,1580.361,-0.1929795742034912,3.9879300594329834,2.216536521911621
500,16000,392.77778000000006,0.7560658584509509,0.9753139216669746,0.845818887639261,0.0,128.33333333333334,1726.9330000000002,-0.23873838782310486,4.893617153167725,1.4809387922286987
600,19200,727.0485400000002,0.699140920345721,0.9728267278542623,0.9437778994255165,0.0,130.33333333333334,1826.9470000000003,-0.4057777523994446,8.324499130249023,2.1063857078552246
700,22400,671.6441800000003,0.8079930384121813,0.968299482277977,0.9170375908501711,0.0,128.66666666666666,1771.5993333333336,-0.5908770561218262,1.663472056388855,2.1281466484069824
800,25600,725.3967800000005,1.0132417559564784,0.9550666866885997,0.9295374560080442,0.0,127.0,1730.9450000000008,0.12093936651945114,8.183767318725586,1.2501676082611084
900,28800,1068.9553400000004,0.8777263542125192,0.962948350071736,0.9345936405900247,0.0,128.0,1765.204333333334,-0.17460700869560242,5.1520867347717285,0.920478343963623
1000,32000,1061.3827400000005,1.1068066832237948,0.957528295871194,0.9303552256238993,0.3333333333333333,127.33333333333333,1725.0843333333341,-0.11471784114837646,3.1867830753326416,0.6444526314735413
1100,35200,854.8479400000003,0.9944770202020362,0.9554938104273968,0.9302836052836053,0.0,127.33333333333333,1737.5183333333334,-0.10421058535575867,2.2892253398895264,0.9921717047691345
1200,38400,894.1527200000005,1.2331958994709138,0.959883121209567,0.8773809523809524,0.6666666666666666,127.33333333333333,1675.7670000000007,-0.2194896936416626,4.178339958190918,2.0214314460754395
1250,40000,931.6575400000005,1.379238321423582,0.9581633794376564,0.8971896955503512,1.0,126.0,1649.979666666668,-0.1216098964214325,3.4029648303985596,1.2845746278762817
