step,return,success_rate,mean_steps
5000,-2857.937818926307,0.1,123.1
10000,-3186.531214195914,0.0,135.3
15000,-677.8980557901763,0.0,209.2
20000,-519.7250308284133,0.1,207.6
25000,-295.80390003008034,0.1,217.1
30000,-707.1504743671812,0.1,207.9
35000,-272.47382737827974,0.1,224.9
40000,-252.7225642957231,0.0,241.5
45000,-703.8107778972642,0.1,204.2
50000,-389.71891338609737,0.0,223.7
55000,-480.1673923497593,0.0,220.1
60000,-237.86984085104882,0.0,225.6
65000,-250.1173936077389,0.0,221.3
70000,-365.6381765910701,0.0,220.7
75000,-193.38080716174807,0.0,215.5
80000,-350.30235230474534,0.0,217.5
85000,-704.0252836583629,0.1,207.9
90000,-439.11589600440067,0.0,220.9
95000,-340.01294232744755,0.0,226.0
100000,-312.0777425686507,0.1,204.3
105000,-121.1390657297325,0.1,206.4
110000,-349.01529787667204,0.2,204.2
115000,-252.0665067453282,0.1,223.1
120000,-178.43707753439844,0.1,217.2
125000,-170.11100243735206,0.1,210.2
130000,-215.55391750647618,0.1,213.4
135000,-57.082424062028316,0.4,175.6
140000,-78.73891350868459,0.4,173.0
145000,-128.83599073207102,0.3,165.9
150000,-57.38361625634502,0.3,168.2
155000,-221.06535280166196,0.5,147.9
160000,-39.33030631098364,0.5,153.8
165000,-119.37152842988635,0.5,164.9
170000,-254.30853474693566,0.5,147.9
175000,-223.45179723917408,0.5,144.4
180000,-264.4632165241425,0.4,142.7
185000,-69.07195404588657,0.5,144.8
190000,-337.58622476135247,0.4,154.1
195000,-312.83174562196564,0.5,132.3
200000,-195.11553386781955,0.5,128.3
205000,-393.2660472329045,0.6,119.3
210000,-297.438191053986,0.4,146.4
215000,-155.96110079068035,0.5,132.1
220000,-417.3818686448558,0.5,147.1
225000,-704.9602619872194,0.5,145.2
230000,-276.6899788636636,0.4,159.4
235000,-519.7359865516912,0.5,136.5
240000,-103.3464836449928,0.7,108.1
245000,-49.996495676416984,0.5,131.9
250000,-167.9282757396189,0.5,140.3
255000,-427.73955385515336,0.5,123.7
260000,-203.6355347098064,0.7,123.5
265000,-382.2708212590553,0.5,139.5
270000,-613.7454148681286,0.4,143.4
275000,-549.9023563196124,0.5,161.6
280000,-421.1270139785935,0.3,165.9
285000,-249.344520933757,0.6,142.6
290000,-203.5942959536153,0.8,145.6
295000,-299.0196784852098,0.7,116.6
300000,-511.37958724191714,1.0,103.2
305000,-283.41418697274105,0.9,131.0
310000,-135.75099412712572,0.9,121.6
315000,-36.00940736761018,1.0,79.7
320000,-16.039468571991144,1.0,77.0
325000,-3.436878801829164,1.0,69.8
330000,-157.1372021366951,0.8,83.9
335000,-24.843188452616957,0.8,102.3
340000,-247.36195278248337,0.8,106.8
345000,-120.2723345842206,0.9,89.7
350000,-644.486675773685,0.9,88.9
