episode,step,episode_return,epsilon,loss
0,51,-223.56599999999997,0.9975775,
1,122,62.699999999999974,0.994205,
2,208,-170.1790000000001,0.99012,
3,280,-57.63399999999993,0.9867,
4,363,-641.0429999999999,0.9827575,
5,435,-350.0880000000001,0.9793375,
6,495,-595.645,0.9764875,
7,557,-428.7249999999999,0.9735425,
8,628,-288.6209999999999,0.97017,
9,711,-549.5280000000001,0.9662275,
10,786,-48.27100000000006,0.962665,
11,865,-66.55299999999995,0.9589125000000001,
12,926,-386.46900000000005,0.9560150000000001,
13,1011,-108.20500000000015,0.9519775,13.891022682189941
14,1096,-319.49199999999985,0.94794,16.814958572387695
15,1184,-275.97100000000006,0.94376,17.50704002380371
16,1278,-354.89899999999994,0.939295,11.225247383117676
17,1365,6.335999999999949,0.9351625,11.076319694519043
18,1419,-102.25799999999998,0.9325975,14.654335021972656
19,1483,-200.68300000000008,0.9295575,14.19580078125
20,1559,72.17500000000013,0.9259475,13.330263137817383
21,1639,-1030.828,0.9221475,13.147211074829102
22,1744,149.47399999999993,0.91716,12.253992080688477
23,1813,-157.45899999999995,0.9138825,14.063152313232422
24,1881,-162.79500000000004,0.9106525,15.272476196289062
25,1956,-248.65999999999997,0.90709,11.343537330627441
26,2030,-477.93300000000005,0.903575,11.868192672729492
27,2095,-493.1310000000001,0.9004875,9.862557411193848
28,2160,-1528.5020000000002,0.8974,14.073395729064941
29,2263,38.60400000000017,0.8925075,18.118927001953125
30,2339,-103.83199999999985,0.8888975,11.984110832214355
31,2401,-259.24999999999994,0.8859525,13.529289245605469
32,2486,-4.269999999999925,0.881915,12.331393241882324
33,2564,-258.13100000000003,0.87821,10.759411811828613
34,2621,-53.82499999999999,0.8755025,8.967583656311035
35,2695,-183.23399999999987,0.8719875,9.244415283203125
36,2773,125.39399999999993,0.8682825000000001,11.35614013671875
37,2852,-95.72200000000007,0.86453,12.37625503540039
38,2904,-420.49199999999996,0.86206,10.604331970214844
39,2997,130.12699999999987,0.8576425,11.100582122802734
40,3056,-286.558,0.85484,10.61430835723877
41,3141,-12.698000000000036,0.8508025,12.993643760681152
42,3229,-133.26999999999992,0.8466225000000001,6.822649955749512
43,3292,-98.233,0.84363,9.079095840454102
44,3355,54.14799999999997,0.8406375,12.101326942443848
45,3426,-800.6579999999999,0.837265,9.472926139831543
46,3503,46.58499999999981,0.8336075000000001,9.583731651306152
47,3590,63.68000000000003,0.829475,10.772076606750488
48,3660,-182.9170000000002,0.82615,9.310830116271973
49,3740,-160.11600000000004,0.82235,10.994402885437012
50,3804,-160.7999999999999,0.81931,9.73996353149414
51,3903,224.07300000000004,0.8146075,8.623151779174805
52,4001,-650.9469999999999,0.8099525,9.004353523254395
53,4061,-71.43999999999997,0.8071025000000001,13.036385536193848
54,4127,-327.933,0.8039675,15.242480278015137
55,4208,-244.06800000000013,0.8001199999999999,9.700644493103027
56,4269,-85.88700000000003,0.7972225,10.499029159545898
57,4333,-151.7330000000001,0.7941825,11.770286560058594
58,4375,-104.4710000000001,0.7921875,11.974801063537598
59,4429,-252.32899999999998,0.7896225,8.9077787399292
60,4495,-221.68800000000005,0.7864875,11.139537811279297
61,4550,-231.48400000000004,0.783875,10.726964950561523
62,4619,18.074999999999818,0.7805975,8.484813690185547
63,4683,-770.785,0.7775575,6.170869827270508
64,4744,-284.58300000000014,0.77466,11.243620872497559
65,4807,-116.561,0.7716675,10.367724418640137
66,4855,-354.9889999999999,0.7693875,12.440492630004883
67,4908,-161.03899999999996,0.7668699999999999,8.934657096862793
68,4958,-239.99400000000006,0.764495,6.335047721862793
69,5028,-125.98800000000008,0.76117,8.170389175415039
70,5085,-436.459,0.7584625,12.580190658569336
71,5165,-659.085,0.7546625,10.420610427856445
72,5219,-9.811999999999884,0.7520975,12.705994606018066
73,5269,-123.31300000000002,0.7497225000000001,12.462882995605469
74,5338,-136.782,0.746445,8.377523422241211
75,5393,-235.54200000000006,0.7438325,9.512024879455566
76,5493,-964.6249999999995,0.7390825000000001,20.14494514465332
77,5544,-322.664,0.7366600000000001,8.565622329711914
78,5605,-220.68600000000004,0.7337625000000001,7.882360458374023
79,5664,3.1180000000000803,0.73096,7.572141647338867
